code;label-fr_BE;label-en_US;label-nl_BE;allowed_extensions;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
installation;Installation;;Installatie;;;;;0;;marketing;1;;;;0;0;;;;0;44;pim_catalog_textarea;0;0;;;0
window_type;Type de fenêtre;;Type raam;;;;;0;;general;0;;;;0;0;;;;0;81;pim_catalog_multiselect;0;0;;;0
type_building;Type de bâtiment;;Type gebouw;;;;;0;;general;0;;;;0;0;;;;0;19;pim_catalog_multiselect;0;0;;;0
screen_type;Type de protection solaire;;Type zonwering;;;;;0;;general;0;;;;0;0;;;;0;21;pim_catalog_simpleselect;0;0;;;0
extra_features;Caractéristiques complémentaires;;Extra kenmerken;;;;;0;;general;0;;;;0;0;;;;0;84;pim_catalog_multiselect;0;0;;;0
install;Situation de montage;;Montagesituatie;;;;;0;;general;0;;;;0;0;;;;0;85;pim_catalog_multiselect;0;0;;;0
control;Commande;;Bediening;;;;;0;;control;0;;;;0;0;;;;0;1;pim_catalog_multiselect;0;0;;;0
joinable;Couplable;;Koppelbaar;;;;;0;;measurements;0;;;;0;0;;;;0;53;pim_catalog_boolean;0;0;;;0
wind_resistance_class_EN13561;Classe de résistance au vent EN13561;;Windklasse EN13561;;;;;0;;technical_properties;0;;;;0;0;;;;0;55;pim_catalog_simpleselect;0;0;;;0
max_width_joined;Largeur maximale - couplé (mm);;Maximale breedte gekoppeld (mm);;;;;0;;measurements;0;;;;0;0;;;;0;44;pim_catalog_number;0;0;;;0
max_height_joined;Hauteur maximale - couplé (mm);;Maximale hoogte gekoppeld (mm);;;;;0;;measurements;0;;;;0;0;;;;0;48;pim_catalog_number;0;0;;;0
max_area_joined;Surface maximale - couplé (m2);;Maximale oppervlakte gekoppeld (m²);;;;;1;;measurements;0;;;;0;0;;;;0;47;pim_catalog_number;0;0;;;0
height_mounting_brackets;hauteur des équerres (mm);;Hoogte beugels (mm);;;;;0;;measurements;0;;;;0;0;;;;0;31;pim_catalog_number;0;0;;;0
height;Hauteur (mm);;Hoogte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;32;pim_catalog_number;0;0;;;0
width;Largeur (mm);;Breedte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;33;pim_catalog_number;0;0;;;0
